"ID","Alg","n","Scheduling_route","T_k","TC_k","Obj"
"19","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-32-0 | R2: 0-5-1-2-3-4-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1161.480 / 446.322 / 1010.564","91.732 / 35.412 / 96.364","576.619 / 223.508 / 715.158"
"20","DRL-MA","3","R1: 0-13-14-21-22-24-25-26-27-28-29-3-2-1-4-5-0 | R2: 0-6-12-8-7-0 | R3: 0-9-10-11-15-16-17-18-19-20-23-30-31-32-0","1204.519 / 372.655 / 1055.030","102.252 / 29.668 / 91.551","579.917 / 223.471 / 831.864"
"21","DRL-MA","3","R1: 0-13-14-21-22-24-25-26-27-28-29-3-2-1-4-0 | R2: 0-6-12-8-7-0 | R3: 0-9-10-11-15-16-17-18-19-20-23-30-31-32-5-0","1159.808 / 372.655 / 1100.033","95.930 / 29.668 / 97.877","580.410 / 223.474 / 787.153"
"22","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-32-0 | R2: 0-4-2-3-1-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1161.480 / 450.170 / 1010.564","91.732 / 35.437 / 96.364","581.044 / 223.533 / 711.310"
"23","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-32-0 | R2: 0-5-4-1-2-3-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1161.480 / 450.649 / 1010.564","91.732 / 35.441 / 96.364","581.594 / 223.537 / 710.831"
"24","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-32-0 | R2: 0-4-1-2-3-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1161.480 / 451.298 / 1010.564","91.732 / 35.445 / 96.364","582.341 / 223.541 / 710.182"
"25","DRL-MA","3","R1: 0-6-20-21-22-23-24-25-26-27-28-29-30-31-0 | R2: 0-1-2-3-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-0","1176.330 / 532.477 / 920.023","92.261 / 42.666 / 88.661","589.698 / 223.588 / 643.853"
"26","DRL-MA","3","R1: 0-6-20-21-22-23-24-25-26-27-28-29-30-31-0 | R2: 0-1-2-3-4-32-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-0","1176.330 / 532.661 / 920.023","92.261 / 42.667 / 88.661","589.909 / 223.589 / 643.669"
"27","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-0 | R2: 0-5-4-32-3-2-1-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1086.293 / 532.477 / 1010.564","84.561 / 42.666 / 96.364","590.251 / 223.591 / 553.816"
"28","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-0 | R2: 0-1-2-3-4-32-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1086.293 / 532.661 / 1010.564","84.561 / 42.667 / 96.364","590.463 / 223.592 / 553.632"
